name	imgurl	center_x	center_y	mouth_left_x	mouth_left_y	eye_right_x	eye_right_y	eye_left_x	eye_left_y	nose_x	nose_y	contour_chin_x	contour_chin_y	contour_left1_x	contour_left1_y	contour_left2_x	contour_left2_y	contour_left3_x	contour_left3_y	contour_left4_x	contour_left4_y	contour_left5_x	contour_left5_y	contour_left6_x	contour_left6_y	contour_left7_x	contour_left7_y	contour_left8_x	contour_left8_y	contour_left9_x	contour_left9_y	contour_right1_x	contour_right1_y	contour_right2_x	contour_right2_y	contour_right3_x	contour_right3_y	contour_right4_x	contour_right4_y	contour_right5_x	contour_right5_y	contour_right6_x	contour_right6_y	contour_right7_x	contour_right7_y	contour_right8_x	contour_right8_y	contour_right9_x	contour_right9_y	left_eye_bottom_x	left_eye_bottom_y	left_eye_center_x	left_eye_center_y	left_eye_left_corner_x	left_eye_left_corner_y	left_eye_lower_left_quarter_x	left_eye_lower_left_quarter_y	left_eye_lower_right_quarter_x	left_eye_lower_right_quarter_y	left_eye_pupil_x	left_eye_pupil_y	left_eye_right_corner_x	left_eye_right_corner_y	left_eye_top_x	left_eye_top_y	left_eye_upper_left_quarter_x	left_eye_upper_left_quarter_y	left_eye_upper_right_quarter_x	left_eye_upper_right_quarter_y	left_eyebrow_left_corner_x	left_eyebrow_left_corner_y	left_eyebrow_lower_left_quarter_x	left_eyebrow_lower_left_quarter_y	left_eyebrow_lower_middle_x	left_eyebrow_lower_middle_y	left_eyebrow_lower_right_quarter_x	left_eyebrow_lower_right_quarter_y	left_eyebrow_right_corner_x	left_eyebrow_right_corner_y	left_eyebrow_upper_left_quarter_x	left_eyebrow_upper_left_quarter_y	left_eyebrow_upper_middle_x	left_eyebrow_upper_middle_y	left_eyebrow_upper_right_quarter_x	left_eyebrow_upper_right_quarter_y	mouth_left_corner_x	mouth_left_corner_y	mouth_lower_lip_bottom_x	mouth_lower_lip_bottom_y	mouth_lower_lip_left_contour1_x	mouth_lower_lip_left_contour1_y	mouth_lower_lip_left_contour2_x	mouth_lower_lip_left_contour2_y	mouth_lower_lip_left_contour3_x	mouth_lower_lip_left_contour3_y	mouth_lower_lip_right_contour1_x	mouth_lower_lip_right_contour1_y	mouth_lower_lip_right_contour2_x	mouth_lower_lip_right_contour2_y	mouth_lower_lip_right_contour3_x	mouth_lower_lip_right_contour3_y	mouth_lower_lip_top_x	mouth_lower_lip_top_y	mouth_right_corner_x	mouth_right_corner_y	mouth_upper_lip_bottom_x	mouth_upper_lip_bottom_y	mouth_upper_lip_left_contour1_x	mouth_upper_lip_left_contour1_y	mouth_upper_lip_left_contour2_x	mouth_upper_lip_left_contour2_y	mouth_upper_lip_left_contour3_x	mouth_upper_lip_left_contour3_y	mouth_upper_lip_right_contour1_x	mouth_upper_lip_right_contour1_y	mouth_upper_lip_right_contour2_x	mouth_upper_lip_right_contour2_y	mouth_upper_lip_right_contour3_x	mouth_upper_lip_right_contour3_y	mouth_upper_lip_top_x	mouth_upper_lip_top_y	nose_contour_left1_x	nose_contour_left1_y	nose_contour_left2_x	nose_contour_left2_y	nose_contour_left3_x	nose_contour_left3_y	nose_contour_lower_middle_x	nose_contour_lower_middle_y	nose_contour_right1_x	nose_contour_right1_y	nose_contour_right2_x	nose_contour_right2_y	nose_contour_right3_x	nose_contour_right3_y	nose_left_x	nose_left_y	nose_right_x	nose_right_y	nose_tip_x	nose_tip_y	right_eye_bottom_x	right_eye_bottom_y	right_eye_center_x	right_eye_center_y	right_eye_left_corner_x	right_eye_left_corner_y	right_eye_lower_left_quarter_x	right_eye_lower_left_quarter_y	right_eye_lower_right_quarter_x	right_eye_lower_right_quarter_y	right_eye_pupil_x	right_eye_pupil_y	right_eye_right_corner_x	right_eye_right_corner_y	right_eye_top_x	right_eye_top_y	right_eye_upper_left_quarter_x	right_eye_upper_left_quarter_y	right_eye_upper_right_quarter_x	right_eye_upper_right_quarter_y	right_eyebrow_left_corner_x	right_eyebrow_left_corner_y	right_eyebrow_lower_left_quarter_x	right_eyebrow_lower_left_quarter_y	right_eyebrow_lower_middle_x	right_eyebrow_lower_middle_y	right_eyebrow_lower_right_quarter_x	right_eyebrow_lower_right_quarter_y	right_eyebrow_right_corner_x	right_eyebrow_right_corner_y	right_eyebrow_upper_left_quarter_x	right_eyebrow_upper_left_quarter_y	right_eyebrow_upper_middle_x	right_eyebrow_upper_middle_y	right_eyebrow_upper_right_quarter_x	right_eyebrow_upper_right_quarter_y	mouth_right_x	mouth_right_y
John Adams (1735-1826)	http://www.bbc.co.uk/staticarchive/54b831b46c082794e0f9a65d3cc54c042e8f0b83.jpg	41.176471	22.162162	36.123015	30.172703	49.733015	17.987946	36.482132	18.731243	37.020147	24.341676	41.415735	36.788054	32.023382	18.118	32.323162	21.042108	32.263897	23.207568	32.740147	25.204811	33.518235	27.415784	34.819118	29.122541	35.774118	31.284919	37.640956	33.296108	38.985147	35.714595	65.585074	17.901027	65.479265	21.108162	65.222941	24.495514	64.416618	27.784811	62.638235	30.927405	59.203162	33.48573	54.823603	35.055189	50.204338	36.147568	45.910368	36.740865	34.519559	19.079784	34.802132	18.111351	32.930441	17.994865	33.286176	18.689351	36.114338	18.859027	35.359485	17.917297	38.435	18.59773	34.869853	17.229297	33.395441	17.229027	36.6275	17.581622	30.768603	15.124378	31.916176	14.969351	33.943309	15.124108	35.550515	15.706973	37.725588	16.378162	31.787206	14.162811	33.932647	13.836541	35.939853	14.825892	36.504044	28.470108	39.917206	30.935838	38.256838	29.410865	36.571912	29.377297	38.616471	30.363784	43.403676	29.832595	44.849926	30.295514	42.159853	30.895135	39.853235	29.898378	46.899632	29.396486	39.515368	29.186	38.622206	28.491243	37.207279	28.029622	38.755809	28.486703	40.041691	28.466649	43.386618	28.593892	42.742721	29.176919	39.480147	28.63227	39.038088	17.964486	36.619338	23.033351	37.168456	25.717459	39.166029	26.358703	42.539338	18.027514	42.8925	22.837676	41.126029	25.829081	35.526912	25.042216	44.113015	24.943676	37.118382	24.634973	49.495735	18.758	49.533676	17.663351	46.020441	18.012162	47.396838	18.378162	51.817132	18.541784	49.246691	17.615946	53.333529	17.903784	49.513971	16.613189	47.364412	16.906486	51.614191	16.782432	43.570588	15.376108	46.548897	14.716973	49.285809	14.165351	52.8275	14.318	55.790441	15.180486	46.039191	13.587243	49.504044	12.78173	53.363824	13.414811	46.411544	28.894216
Konrad Adenauer (1876-1967)	http://www.bbc.co.uk/staticarchive/9ee8f64fa1cf1df06a0e7bb056665dc980370282.jpg	45.220588	55.945946	35.259412	72.783784	59.618382	43.978703	29.328824	46.897514	42.588235	62.364865	48.905662	87.538919	14.807868	47.696108	16.092647	53.297676	18.843824	58.984324	20.848015	63.94973	23.010662	69.094054	26.581765	73.82973	29.549779	78.641622	34.624412	83.267027	40.973088	87.092432	80.855147	42.278919	80.709559	47.728054	79.891176	54.74	79.269118	60.844865	77.113971	66.709189	73.554412	72.642703	69.564265	77.842162	64.032279	82.458378	57.447353	85.50973	29.116176	48.209243	29.029338	46.634919	22.912794	47.216595	25.649706	47.998432	32.693824	47.508811	29.814632	45.905676	35.752868	46.731189	28.920515	45.013459	25.640515	45.695946	32.155441	45.38373	19.348088	44.667351	22.398971	43.804919	26.402132	42.74573	31.150588	42.969351	35.803897	43.393135	21.380956	41.921622	25.524485	40.72227	31.276103	41.358919	35.553603	73.224865	46.280074	76.652973	40.969559	73.786486	38.565147	74.59027	41.700221	76.269189	52.243162	72.997838	55.775662	73.766486	50.826985	75.719459	45.994853	74.162162	59.547353	71.462703	46.237794	73.156216	43.703676	71.771892	39.858382	72.521622	41.373603	73.057297	47.962132	71.455135	53.220294	71.117838	52.098603	72.347027	46.123971	71.851892	38.824412	46.901622	37.617647	58.416757	40.025809	65.158378	44.39625	66.116757	47.361471	46.194486	49.971544	56.962162	49.230147	64.154595	36.826029	62.428108	53.506103	61.188649	42.746471	62.792973	60.476544	45.396216	60.055	43.825838	53.464338	44.999297	56.660441	45.162216	63.835368	44.491514	60.810809	43.078054	66.147647	43.170162	59.627353	42.276486	56.721691	43.326108	63.008603	42.302486	50.386618	41.429351	55.351103	39.815514	59.8125	39.000432	64.738456	38.948216	67.88	39.218432	54.589044	38.194541	59.192647	36.237297	65.070147	36.58573	59.778824	71.407027
Alfred the Great (849 AD - 899 AD)	http://www.bbc.co.uk/staticarchive/2a87249de4564610b4a854f0abc3de4915a803f1.jpg	62.132353	29.459459	55.165	38.501568	69.201838	22.691622	54.077941	23.48973	66.201176	31.820703	62.927206	47.607189	37.605294	24.585405	37.455221	28.66173	37.429265	32.298378	38.426176	36.00627	39.897647	39.535351	43.120294	42.204595	46.679191	44.524378	52.237353	46.444054	57.891691	47.595243	73.144265	22.826108	72.77875	25.880595	72.717059	28.938324	72.182941	31.980216	71.517941	34.866595	70.542868	37.774	69.104044	40.770703	67.742647	43.390703	66.086176	45.879459	54.152721	24.674811	54.019265	23.440378	49.566029	23.687351	51.798015	24.362216	56.293015	24.301838	54.332132	23.236054	58.124853	23.647676	54.025662	22.070054	51.768088	22.722703	56.078015	22.510757	47.142132	20.320973	50.480515	19.362054	54.202941	19.006757	57.483897	19.570054	60.544779	19.873459	50.511029	18.451081	54.366912	17.992432	57.777353	18.254486	55.261029	38.780865	63.210294	40.184	59.485074	38.865784	57.670882	39.669676	60.063824	40.054757	66.252794	38.727676	66.401912	39.368649	64.647868	39.86573	63.444485	38.880919	67.57875	38.579459	63.739412	38.487081	62.4375	37.351568	58.49875	38.04227	59.699265	38.458649	65.228382	37.437297	66.840662	37.655135	65.925515	38.378108	63.988603	37.596432	60.818015	23.27827	59.856029	29.969622	61.699853	33.883568	65.177206	34.302108	64.714265	23.061027	67.361397	29.180432	67.258603	33.78973	58.331471	32.662324	68.295	32.33827	67.224265	31.809135	69.659485	23.861892	69.525809	22.714324	65.594412	23.169081	67.447426	23.654378	71.339044	23.544703	69.843456	22.560486	72.221103	22.773405	69.540882	21.487622	68.034779	22.097297	71.133382	21.640054	65.165956	19.911081	67.405294	19.575189	69.984044	19.194108	71.946765	19.123676	73.283971	19.808919	67.378309	18.480541	69.661029	17.985297	71.895588	18.217027	67.354044	38.471622
Sir Edward Appleton (1892 - 1965)	http://www.bbc.co.uk/staticarchive/ed36f129e7e98c79c50b492895453f225649daac.jpg	58.823529	29.72973	51.016838	38.193622	63.980515	24.176324	49.809118	24.103243	63.400368	31.231459	59.409779	47.282973	31.138309	24.462378	30.828235	28.273027	31.252279	32.235297	32.271765	36.033135	34.4725	39.330865	38.758015	41.873676	43.179412	44.096595	48.215956	45.997027	53.940294	47.030919	67.720588	24.39027	67.800368	27.173784	67.957868	30.190595	67.657794	32.711676	66.821324	35.410432	66.166397	38.348649	65.434779	40.984919	64.341029	43.762919	62.827132	45.766649	50.337941	25.155568	50.202794	24.081514	45.781765	24.253405	48.021544	24.934865	51.907426	24.831946	50.751691	23.844486	53.525882	24.267676	50.614779	22.932973	48.262941	23.506973	52.072279	23.126757	43.376324	22.058486	46.436103	21.552378	49.561397	21.187351	52.703235	21.021027	55.723676	20.948378	45.712794	20.208486	48.915294	19.273027	52.621618	19.469838	52.158162	38.043514	59.918309	39.797135	56.242574	37.928324	54.413603	38.938054	57.191618	39.567946	62.216176	38.257946	62.812721	39.276108	61.229706	39.708595	59.964779	38.202865	63.523529	38.405568	60.039265	37.791892	58.630588	36.310595	55.080588	37.023784	56.475368	37.450811	61.694706	36.343405	63.095368	37.036865	62.0075	37.725838	60.434779	36.718595	56.998309	24.467189	55.904191	29.798378	58.106471	33.204541	61.141324	33.555081	60.534485	24.388811	63.340074	29.414973	63.026471	33.359784	54.627794	32.398378	64.146471	32.406108	63.282132	31.216	64.200515	25.175838	64.219044	24.157189	61.023015	24.232378	62.415074	24.745351	65.638382	24.940541	64.695	23.941297	66.858235	24.502054	64.544338	23.23373	62.721765	23.347784	65.794044	23.499838	62.272868	21.518811	63.756176	21.615568	65.527206	21.621459	67.080956	21.740919	67.434118	22.011351	64.038676	20.404595	65.645588	19.94	67.38	20.344973	63.132941	38.638162
Sir Richard Arkwright (1732 - 1792)	http://www.bbc.co.uk/staticarchive/69d030011b5cad436583b812948b93fd07c4984d.jpg	42.279412	28.918919	35.375956	37.422	49.996912	22.911676	33.384118	23.351622	38.098015	30.360811	42.248529	47.058757	27.820147	23.675838	27.622206	26.876973	27.958088	29.741892	28.623456	32.648757	29.716103	35.952378	31.320074	38.413784	33.057647	41.348649	35.408676	44.016865	37.754926	46.156649	64.579853	23.235297	64.861397	26.792	64.860735	30.732162	64.813971	34.442811	63.221765	38.108486	60.034044	41.038703	55.814338	43.510703	51.466912	45.613622	47.562868	46.894324	33.448529	24.043459	33.350441	23.098162	30.347574	23.422378	31.718015	23.866	35.040515	23.850973	34.233088	22.871568	37.018015	23.24573	33.301029	22.150486	31.606544	22.314486	34.987868	22.363568	29.075515	20.570757	30.840221	20.282865	32.920294	20.060757	35.129853	20.404649	37.519265	20.642432	30.014044	19.071676	32.775	18.662811	35.426838	19.163514	35.921618	37.46373	41.179412	39.410378	38.422279	37.877784	37.276691	38.709946	39.349706	39.340162	44.593088	37.844432	46.451985	38.280324	43.525809	39.166973	41.290515	38.068973	48.172794	37.055027	41.153015	37.171135	39.283897	35.932054	36.917426	36.396541	38.660294	37.030649	42.094191	35.906595	45.091765	36.264541	44.107868	37.171081	40.911324	36.210811	38.555882	23.232595	36.703603	28.456162	37.683603	32.396378	40.026912	32.671243	43.32375	23.187189	44.445294	28.584216	42.961103	32.534541	36.015515	31.177568	45.858897	31.464432	38.175074	29.970973	49.941691	23.960919	49.937868	22.932432	45.736324	23.247297	47.631765	23.661189	52.212132	23.546919	50.344338	22.657297	53.7275	23.067297	49.916618	22.067297	48.081397	22.135081	51.843529	22.223189	42.754779	20.458595	45.863971	20.411676	48.940221	19.914054	52.887206	19.602703	56.351985	20.001892	45.410294	19.044378	48.586029	18.250649	52.77875	18.320649	47.694779	37.245189
HH Asquith (1852 - 1928)	http://www.bbc.co.uk/staticarchive/e0cdf0880f807d625fd1451929a16ef1a80dfdd5.jpg	52.941176	18.378378	50.168529	22.379135	56.910074	15.619351	48.778456	16.011514	50.075662	20.471784	54.224926	28.530757	47.01625	16.488973	47.113824	18.207297	47.101691	19.712486	47.249191	21.165784	47.818162	22.593351	48.840294	23.749351	49.772794	25.282432	50.870882	26.474108	51.848456	28.098757	65.265515	15.584811	65.590074	17.500541	65.539044	19.127784	65.396324	21.185514	64.733162	23.17027	63.505662	24.809135	61.190956	25.845081	58.894632	26.718162	56.790294	28.114703	50.073309	16.738865	50.035147	16.308054	48.446838	16.332432	49.046691	16.614378	51.004779	16.664378	50.030882	16.168919	52.056471	16.458108	49.971471	15.866649	49.167426	15.944162	50.947206	16.019838	46.912721	15.394703	48.023235	14.904865	49.498088	14.904378	50.674926	15.012378	52.057941	14.965351	47.932941	14.344432	49.522721	14.357838	50.678015	14.605784	50.948456	23.482162	53.413603	25.185514	51.921544	23.92	51.510588	24.438	52.079779	24.885676	55.557941	23.761297	56.625588	23.903135	55.163456	24.820703	53.509118	24.02373	57.671838	23.152811	53.488603	23.677027	52.438382	23.091568	51.432059	23.196865	52.222574	23.627622	54.412059	22.918378	55.959118	22.712216	55.383676	23.309838	53.444632	23.005189	52.518235	16.25173	51.518529	19.516486	52.329412	21.506973	53.384779	21.525297	55.175956	16.227459	55.162279	19.211027	55.031029	21.280378	51.199191	20.778919	56.351029	20.47	52.948971	20.655622	58.001765	16.433351	58.177426	15.984162	56.135882	16.257892	56.954044	16.367514	59.412941	16.229838	57.943897	15.798054	60.396912	15.954432	58.046029	15.52773	57.256471	15.647351	59.393529	15.699189	55.519485	15.009027	57.077721	14.801459	58.588897	14.594649	60.284706	14.575892	61.681618	14.904541	56.766397	14.210054	58.787426	13.848919	60.780515	13.946541	56.745221	22.68227
Kemal Atatürk (1881-1938)	http://www.bbc.co.uk/staticarchive/389862347a012f1fb529d4511dbe6a5dfc2c4b60.jpg	53.308824	38.108108	45.548971	45.973135	60.531691	32.049838	43.705588	32.803189	54.300882	39.418865	55.611985	54.365405	30.255662	33.349243	30.394338	36.757459	30.628897	40.203405	31.563824	43.688595	33.518456	46.979243	36.696103	49.474703	40.421103	51.783243	44.919265	53.492324	49.598603	54.51027	67.84875	31.909027	67.801029	35.098541	67.629118	38.226324	67.650221	41.049027	66.948897	44.098541	65.879779	47.109514	64.196691	49.704	61.939559	51.844324	59.203235	53.638757	43.449706	33.494649	43.169412	32.700703	38.970956	33.012919	41.153456	33.418703	45.065515	33.375514	43.183824	32.437568	47.073015	33.143243	43.328162	31.643405	40.940147	32.159351	45.079632	32.112649	35.359779	31.576054	38.454559	30.504595	41.856985	30.014378	45.455221	30.103622	48.382426	29.926973	37.507574	29.355892	41.574412	28.664703	45.238824	28.49827	46.02125	46.487297	53.421544	47.505351	50.384338	46.427297	48.289338	47.112649	51.135074	47.42827	57.017206	46.410324	58.496985	47.013676	55.856544	47.564595	53.77125	46.436108	60.012206	46.270432	53.793309	45.750973	52.006985	44.916865	48.645809	45.605081	50.240441	45.926432	55.343088	44.932162	58.050588	45.498919	57.135956	46.057189	53.819559	45.203027	50.024706	32.792162	49.563162	37.787676	50.807868	41.628054	54.656765	42.009892	54.567794	32.545892	56.693529	37.887027	56.862279	41.398757	47.665294	40.741297	58.851618	40.490649	54.651103	39.512054	60.995956	32.936973	60.903971	32.083189	56.853456	32.687514	58.907647	32.934054	62.851765	32.66573	61.253603	31.695243	64.14625	32.143081	60.903088	31.125189	58.987574	31.463243	62.777941	31.374054	56.211912	29.382595	59.341912	29.582973	62.278162	29.249081	64.753382	29.360919	66.339706	29.973784	59.224485	28.019568	62.120588	27.681297	65.189706	27.871892	60.384706	46.133351
WH Auden (1907 - 1973)	http://www.bbc.co.uk/staticarchive/8000d3604d3ceaef1d8a8ebcdcb54c84a96e35b7.jpg	61.397059	46.216216	53.501985	66.122162	70.696912	33.749351	42.756691	38.488162	65.016765	45.316216	75.528676	79.803784	20.050294	42.994865	20.869118	50.604757	23.840294	57.515135	26.859853	64.197838	30.980956	70.111351	37.333456	74.553514	45.588824	78.933514	55.489191	80.359459	65.866765	81.812973	83.283824	33.675081	85.702941	39.923784	86.766912	45.473027	88.549265	50.877892	90.054412	56.288108	89.605147	61.463243	88.719118	66.976216	87.055882	71.996216	83.244853	76.651892	45.379338	39.767243	44.499853	38.222919	37.284779	40.334324	41.270588	40.076973	48.405221	38.774973	44.400221	37.878649	51.079191	37.831135	43.757426	36.489135	40.681029	37.873405	47.505368	36.355568	32.254779	36.709081	36.190294	34.665135	41.227059	33.067459	46.395809	32.182162	51.15875	30.831459	34.722426	32.698811	40.149853	30.402595	45.733971	29.684054	54.544191	65.977297	70.700882	66.675676	62.407279	64.665405	59.359485	66.926486	64.785588	67.702162	75.753676	62.142703	78.080147	62.855135	75.069853	65.225946	69.514559	63.704324	79.638235	60.787027	68.638162	60.928649	65.315074	58.725405	58.742132	61.804324	62.328015	62.576757	71.406471	57.592432	76.3125	58.192973	74.522059	60.234054	68.539191	58.681622	55.896838	37.236108	56.041324	44.728378	60.648088	51.981459	67.044265	51.518757	63.503529	35.95	68.595074	42.657405	70.808162	50.353189	53.595	50.52027	73.532353	47.783459	66.004926	45.300486	71.861838	35.891784	71.636029	34.435946	65.006691	35.392108	68.540735	35.888649	75.6625	35.328865	71.862941	34.255351	77.897794	34.680649	71.187353	32.790919	68.059044	33.612703	74.505147	33.102649	64.363897	29.531946	68.802206	29.724054	73.068015	29.664432	77.222059	30.001838	80.227941	30.581297	67.744779	27.179946	72.713603	26.493568	77.541912	27.538757	81.036765	60.372432
Jane Austen (1775 - 1817)	http://www.bbc.co.uk/staticarchive/25c3f25cfbad4960a519c0d23e77602a92b1ac02.jpg	45.220588	32.471264	40.675956	36.85023	50.210294	28.287874	39.435294	28.420575	43.108088	33.418506	44.350809	42.446609	35.602574	28.647931	35.617647	30.542011	36.079412	32.368046	36.582353	33.950632	37.050368	35.658506	37.756324	37.253736	38.650956	38.916839	40.2075	40.41546	42.034779	41.900575	59.039265	28.382989	59.389632	30.884368	59.159118	33.131322	58.521397	35.328046	57.241691	37.487931	55.218235	39.316437	52.943971	40.659195	50.587353	41.666092	47.769485	42.401264	39.684706	29.112471	39.789632	28.427931	37.651176	28.478103	38.625515	28.968333	40.980221	29.050747	39.367426	28.374713	42.250147	28.783103	39.833897	27.676609	38.660294	27.783448	40.953015	27.976207	35.841765	26.407011	37.345441	26.021724	38.868162	25.881724	40.696691	25.948678	42.210515	26.295057	37.154632	25.319023	38.681691	24.858621	40.794926	25.132414	41.222132	36.905402	43.811471	38.430517	42.520515	37.286667	41.871912	37.573678	42.63625	38.157299	46.387059	37.566839	47.307279	37.997816	45.460294	38.373908	44.02625	37.516724	48.55875	37.44977	43.832647	37.241782	42.901471	36.309023	41.827941	36.471609	42.526176	36.821782	44.857426	36.411724	46.611324	36.692586	46.10875	37.296552	43.874412	36.526552	43.142132	28.680632	41.874926	32.100345	42.295294	34.389023	43.574044	34.824253	45.930956	28.59569	46.145515	32.141437	45.649632	34.573276	41.316985	33.477241	47.694191	33.912241	42.941618	33.630805	50.132794	29.122931	50.220074	28.380805	47.891985	28.512759	48.778897	28.952471	51.898824	28.891609	49.752132	28.243678	53.172206	28.484943	50.111176	27.610115	48.810882	27.812126	51.587794	27.895747	46.908235	26.04592	49.235588	25.952816	51.041985	25.777586	53.593309	25.86931	55.511691	26.566264	48.858529	24.887241	51.106103	24.742356	53.797868	25.149023	48.669779	37.016552
Francis Bacon (1561 - 1626)	http://www.bbc.co.uk/staticarchive/97d12664d146bc437b604a3f45ef16cb0de05473.jpg	43.75	43.513514	37.138824	51.806973	52.434926	39.291838	36.321176	38.973135	38.876103	46.094324	39.949412	60.766486	32.386544	37.667405	31.717353	40.160973	31.451324	42.732811	31.381618	45.633081	31.954118	48.129459	31.873824	50.833568	32.743088	54.045892	34.120441	57.034595	36.423162	59.608108	65.444412	39.996919	65.048897	43.572919	64.207353	47.060324	63.316176	50.285459	61.282279	53.401297	58.614706	56.172973	54.641985	58.138378	49.802206	59.904324	45.248529	60.741081	36.600074	39.572757	36.842426	38.615514	33.983088	37.961946	35.162059	38.973946	38.380515	39.537405	36.877206	38.477784	40.110735	39.147514	36.853015	37.820973	35.305662	37.663622	38.753309	38.124378	32.344559	35.786108	33.813162	35.673189	35.993529	35.987892	37.857132	36.371405	39.360368	36.370162	33.351765	34.668216	35.984265	34.658649	38.145735	35.320324	36.489044	51.368054	40.612059	53.874486	38.431765	51.883676	37.424926	52.544973	38.762279	53.337405	44.857353	52.572054	45.918015	53.43773	43.092941	53.861514	40.761103	52.409568	48.473015	52.736811	41.032279	51.769838	39.420735	50.588054	37.629706	50.680595	38.455221	51.269243	42.146176	50.817189	45.794338	51.260541	44.844338	52.084054	41.105441	50.525405	40.9675	38.910541	38.335515	43.862595	38.196544	47.279135	40.479706	48.241514	45.648529	39.16573	44.788824	44.283838	43.735074	47.650486	36.859779	45.864703	47.095662	46.924324	39.278382	46.291676	52.439706	40.489405	52.366618	39.372324	48.580882	39.303676	50.233162	39.963027	54.536985	39.995676	53.117721	39.182432	56.001618	39.514649	52.338971	38.494757	50.389853	38.449838	54.26125	38.841297	46.570809	36.095676	49.612868	36.241189	52.538088	36.346757	55.697941	36.792757	58.500662	37.490216	49.565	34.985946	52.570809	34.900703	56.138824	35.758811	47.883529	52.114973
Roger Bacon (c.1214-c.1292)	http://www.bbc.co.uk/staticarchive/c20995dec5131285e2ebf6995ab900ab434d33fb.jpg	46.691176	32.162162	38.641691	38.314811	53.748456	27.963514	37.933382	26.509568	42.350147	32.931784	42.129706	46.996054	33.105147	26.033459	33.488309	29.411081	33.388456	31.886162	33.545735	34.409189	34.056985	36.816054	35.198529	39.574054	36.023309	42.03027	37.538235	44.233784	39.495074	45.940865	64.063456	28.541784	63.530221	31.728	62.727206	34.904541	61.710294	37.770811	59.801912	40.32827	57.050882	42.663892	54.103162	44.537622	50.599632	46.145243	46.674118	47.186054	37.763235	27.637568	38.093309	26.941676	35.313824	26.643676	36.20375	27.286378	39.659853	27.30627	37.808529	26.834973	41.53375	26.989243	38.18625	26.509838	36.734485	26.402757	40.012353	26.507351	35.157353	24.348432	36.124926	24.165351	37.859044	24.189081	40.013529	24.725622	41.340221	25.233243	35.773529	23.208432	37.943971	22.777135	40.268456	23.655351	38.201324	38.467568	42.745441	39.971946	40.4025	38.593946	39.56	39.283405	40.841618	39.723081	46.535515	39.247297	47.471912	39.956378	45.272059	40.202432	42.845147	39.225784	49.365147	39.747838	42.904706	38.675676	41.657868	37.459568	39.091618	37.318378	40.616544	38.096108	44.163015	37.708973	46.981765	38.613784	46.401029	39.123081	42.966912	38.005081	42.401618	26.761135	40.119412	31.228216	40.723456	34.212054	42.632941	34.904486	45.539632	27.148703	46.394853	31.328973	45.604044	34.459568	39.216618	33.085784	48.127868	33.730973	42.186544	33.303622	52.388162	28.153459	52.387941	27.579405	49.124779	27.536595	50.408529	27.92427	54.336912	28.04373	52.2875	27.381514	55.092647	27.822432	52.462059	26.937027	50.683088	27.064432	54.049044	27.353568	46.816985	25.650432	49.536544	25.762595	52.441838	25.585081	55.121029	25.714054	57.5075	26.223622	49.472647	24.427838	52.244926	24.075946	55.267132	24.385351	48.141397	37.911405
Robert Bakewell (1725 - 1795)	http://www.bbc.co.uk/staticarchive/ca2ba96c0ebaa618fe46ffffbb1f9e62ed13450e.jpg	43.75	30.540541	35.352794	37.656703	49.25375	24.281297	34.129044	25.983405	35.14375	30.182108	40.507574	45.015784	29.147574	26.527622	28.982574	29.254378	29.157868	31.414865	29.555515	33.843838	29.944118	36.180703	31.259412	38.405027	32.5	40.722486	34.587574	42.820811	37.132868	44.463081	58.623235	23.049081	59.299338	26.21027	58.867721	29.604757	58.545368	32.745946	57.753382	35.872162	55.132721	38.650432	52.081103	40.782324	48.940515	42.683676	45.119853	44.029405	33.563235	26.589622	33.422574	25.715784	30.759118	26.167946	32.041397	26.521459	34.834265	26.209892	34.144338	25.474595	35.905147	25.796324	33.367206	24.724541	31.93875	25.267027	34.790662	24.982216	29.568162	23.027351	30.673162	22.561784	32.295956	22.169946	33.927426	22.073784	35.608235	22.504	30.198897	21.912378	32.250956	21.545135	34.024265	21.730054	34.840074	37.405892	39.087206	39.048162	36.825	37.460108	35.643088	38.236216	37.283088	39.011081	42.397941	37.10773	43.900662	37.676595	41.458162	38.544649	39.207059	37.333946	45.455221	36.610757	39.035882	37.068649	37.370882	36.114054	35.448603	36.672378	37.378603	36.965135	40.181103	35.937351	42.627941	36.200054	42.088015	36.803135	38.777941	36.391351	37.2575	25.438162	35.105074	30.34173	37.187059	33.326703	39.134265	33.031784	40.872206	25.008757	42.286691	29.87373	41.311471	33.001892	34.727794	32.739568	43.490956	32.168108	37.205588	31.266486	48.195074	24.969405	48.063529	24.005892	44.393382	24.517135	46.103015	24.849027	49.975294	24.518811	48.636912	23.870757	51.182941	23.836757	48.064853	23.046378	46.170441	23.425946	49.8725	23.225838	42.988235	21.301351	45.743015	20.670811	48.194044	19.991784	50.896838	19.992378	53.187574	20.566054	45.3975	19.869297	47.831176	19.062703	51.071618	19.351081	45.614779	36.262919
